,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9096385542168675,572,26,34,32,0.5517241379310345,0.48484848484848486,0.5161290322580646
1,1,0.9096385542168675,572,26,34,32,0.5517241379310345,0.48484848484848486,0.5161290322580646
2,2,0.9096385542168675,572,26,34,32,0.5517241379310345,0.48484848484848486,0.5161290322580646
3,3,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
4,4,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
5,5,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
6,6,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
7,7,0.9066265060240963,570,28,34,32,0.5333333333333333,0.48484848484848486,0.507936507936508
8,8,0.9066265060240963,570,28,34,32,0.5333333333333333,0.48484848484848486,0.507936507936508
9,9,0.9081325301204819,572,26,35,31,0.543859649122807,0.4696969696969697,0.5040650406504066
10,ensemble_avg,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
11,ensemble_or,0.9081325301204819,569,29,32,34,0.5396825396825397,0.5151515151515151,0.5271317829457365
12,ensemble_uniq_avg,0.9081325301204819,571,27,34,32,0.5423728813559322,0.48484848484848486,0.5120000000000001
13,ensemble_uniq_or,0.9081325301204819,569,29,32,34,0.5396825396825397,0.5151515151515151,0.5271317829457365
