,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
1,1,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
2,2,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
3,3,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
4,4,0.8590225563909775,397,0,75,60,1.0,0.4444444444444444,0.6153846153846153
5,5,0.8646616541353384,397,0,72,63,1.0,0.4666666666666667,0.6363636363636364
6,6,0.8533834586466166,397,0,78,57,1.0,0.4222222222222222,0.59375
7,7,0.8458646616541353,397,0,82,53,1.0,0.3925925925925926,0.5638297872340425
8,8,0.8590225563909775,397,0,75,60,1.0,0.4444444444444444,0.6153846153846153
9,9,0.8458646616541353,397,0,82,53,1.0,0.3925925925925926,0.5638297872340425
10,ensemble_avg,0.8646616541353384,397,0,72,63,1.0,0.4666666666666667,0.6363636363636364
11,ensemble_or,0.9060150375939849,397,0,50,85,1.0,0.6296296296296297,0.7727272727272727
12,ensemble_uniq_avg,0.8458646616541353,397,0,82,53,1.0,0.3925925925925926,0.5638297872340425
13,ensemble_uniq_or,0.9060150375939849,397,0,50,85,1.0,0.6296296296296297,0.7727272727272727
