,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
1,1,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
2,2,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
3,3,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
4,4,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
5,5,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
6,6,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
7,7,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
8,8,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
9,9,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
10,ensemble_avg,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
11,ensemble_or,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
12,ensemble_uniq_avg,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
13,ensemble_uniq_or,0.3830409356725146,60,417,5,202,0.3263327948303716,0.9758454106280193,0.4891041162227603
