,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
1,1,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
2,2,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
3,3,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
4,4,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
5,5,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
6,6,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
7,7,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
8,8,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
9,9,0.8709677419354839,498,0,88,96,1.0,0.5217391304347826,0.6857142857142856
10,ensemble_avg,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
11,ensemble_or,0.875366568914956,498,0,85,99,1.0,0.5380434782608695,0.6996466431095405
12,ensemble_uniq_avg,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
13,ensemble_uniq_or,0.875366568914956,498,0,85,99,1.0,0.5380434782608695,0.6996466431095405
