,site,metric,param
0,npp_c_cali,,1
1,npp_c_grav,,1
2,npp_c_sand,,1
3,npp_g_basn,,1
4,npp_g_ibpe,,1
5,npp_g_summ,,1
6,npp_m_nort,,1
7,npp_m_rabb,,1
8,npp_m_well,,1
9,npp_p_coll,,1
10,npp_p_smal,,1
11,npp_p_tobo,,1
12,npp_t_east,,1
13,npp_t_tayl,,1
14,npp_t_west,,1
