,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8435672514619883,477,0,107,100,1.0,0.4830917874396135,0.6514657980456026
1,1,0.8435672514619883,477,0,107,100,1.0,0.4830917874396135,0.6514657980456026
2,2,0.8406432748538012,477,0,109,98,1.0,0.47342995169082125,0.6426229508196721
3,3,0.8406432748538012,477,0,109,98,1.0,0.47342995169082125,0.6426229508196721
4,4,0.8391812865497076,477,0,110,97,1.0,0.46859903381642515,0.6381578947368421
5,5,0.8304093567251462,477,0,116,91,1.0,0.4396135265700483,0.610738255033557
6,6,0.8289473684210527,477,0,117,90,1.0,0.43478260869565216,0.6060606060606061
7,7,0.8289473684210527,477,0,117,90,1.0,0.43478260869565216,0.6060606060606061
8,8,0.8245614035087719,477,0,120,87,1.0,0.42028985507246375,0.5918367346938774
9,9,0.8011695906432749,477,0,136,71,1.0,0.34299516908212563,0.5107913669064749
10,ensemble_avg,0.8406432748538012,477,0,109,98,1.0,0.47342995169082125,0.6426229508196721
11,ensemble_or,0.8874269005847953,477,0,77,130,1.0,0.6280193236714976,0.771513353115727
12,ensemble_uniq_avg,0.8304093567251462,477,0,116,91,1.0,0.4396135265700483,0.610738255033557
13,ensemble_uniq_or,0.8874269005847953,477,0,77,130,1.0,0.6280193236714976,0.771513353115727
