,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8495575221238938,504,0,102,72,1.0,0.41379310344827586,0.5853658536585366
1,1,0.8466076696165191,504,0,104,70,1.0,0.40229885057471265,0.5737704918032787
2,2,0.8480825958702065,504,0,103,71,1.0,0.40804597701149425,0.5795918367346938
3,3,0.8466076696165191,504,0,104,70,1.0,0.40229885057471265,0.5737704918032787
4,4,0.8407079646017699,504,0,108,66,1.0,0.3793103448275862,0.5499999999999999
5,5,0.8480825958702065,504,0,103,71,1.0,0.40804597701149425,0.5795918367346938
6,6,0.8333333333333334,504,0,113,61,1.0,0.3505747126436782,0.5191489361702127
7,7,0.8333333333333334,493,11,102,72,0.8674698795180723,0.41379310344827586,0.5603112840466925
8,8,0.8303834808259587,504,0,115,59,1.0,0.3390804597701149,0.5064377682403434
9,9,0.8185840707964602,504,0,123,51,1.0,0.29310344827586204,0.4533333333333333
10,ensemble_avg,0.8480825958702065,504,0,103,71,1.0,0.40804597701149425,0.5795918367346938
11,ensemble_or,0.8997050147492626,493,11,57,117,0.9140625,0.6724137931034483,0.7748344370860927
12,ensemble_uniq_avg,0.8362831858407079,504,0,111,63,1.0,0.3620689655172414,0.5316455696202532
13,ensemble_uniq_or,0.8997050147492626,493,11,57,117,0.9140625,0.6724137931034483,0.7748344370860927
