,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
1,1,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
2,2,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
3,3,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
4,4,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
5,5,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
6,6,0.8426073131955485,455,0,99,75,1.0,0.43103448275862066,0.6024096385542169
7,7,0.8426073131955485,455,0,99,75,1.0,0.43103448275862066,0.6024096385542169
8,8,0.8378378378378378,455,0,102,72,1.0,0.41379310344827586,0.5853658536585366
9,9,0.8298887122416534,455,0,107,67,1.0,0.3850574712643678,0.5560165975103735
10,ensemble_avg,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
11,ensemble_or,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
12,ensemble_uniq_avg,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
13,ensemble_uniq_or,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
