,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9819277108433735,598,0,12,54,1.0,0.8181818181818182,0.9
1,1,0.9819277108433735,598,0,12,54,1.0,0.8181818181818182,0.9
2,2,0.9804216867469879,598,0,13,53,1.0,0.803030303030303,0.8907563025210083
3,3,0.9804216867469879,598,0,13,53,1.0,0.803030303030303,0.8907563025210083
4,4,0.9804216867469879,598,0,13,53,1.0,0.803030303030303,0.8907563025210083
5,5,0.9789156626506024,598,0,14,52,1.0,0.7878787878787878,0.8813559322033898
6,6,0.9759036144578314,596,2,14,52,0.9629629629629629,0.7878787878787878,0.8666666666666665
7,7,0.963855421686747,598,0,24,42,1.0,0.6363636363636364,0.7777777777777778
8,8,0.9563253012048193,598,0,29,37,1.0,0.5606060606060606,0.7184466019417475
9,9,0.9457831325301205,598,0,36,30,1.0,0.45454545454545453,0.625
10,ensemble_avg,0.9804216867469879,598,0,13,53,1.0,0.803030303030303,0.8907563025210083
11,ensemble_or,0.9789156626506024,596,2,12,54,0.9642857142857143,0.8181818181818182,0.8852459016393442
12,ensemble_uniq_avg,0.9804216867469879,598,0,13,53,1.0,0.803030303030303,0.8907563025210083
13,ensemble_uniq_or,0.9789156626506024,596,2,12,54,0.9642857142857143,0.8181818181818182,0.8852459016393442
