,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9789156626506024,598,0,14,52,1.0,0.7878787878787878,0.8813559322033898
1,1,0.9789156626506024,598,0,14,52,1.0,0.7878787878787878,0.8813559322033898
2,2,0.9789156626506024,598,0,14,52,1.0,0.7878787878787878,0.8813559322033898
3,3,0.9683734939759037,596,2,19,47,0.9591836734693877,0.7121212121212122,0.817391304347826
4,4,0.9683734939759037,596,2,19,47,0.9591836734693877,0.7121212121212122,0.817391304347826
5,5,0.9683734939759037,596,2,19,47,0.9591836734693877,0.7121212121212122,0.817391304347826
6,6,0.9713855421686747,598,0,19,47,1.0,0.7121212121212122,0.8318584070796461
7,7,0.9623493975903614,598,0,25,41,1.0,0.6212121212121212,0.766355140186916
8,8,0.9653614457831325,596,2,21,45,0.9574468085106383,0.6818181818181818,0.7964601769911505
9,9,0.9563253012048193,598,0,29,37,1.0,0.5606060606060606,0.7184466019417475
10,ensemble_avg,0.9623493975903614,598,0,25,41,1.0,0.6212121212121212,0.766355140186916
11,ensemble_or,0.9849397590361446,596,2,8,58,0.9666666666666667,0.8787878787878788,0.9206349206349207
12,ensemble_uniq_avg,0.9623493975903614,598,0,25,41,1.0,0.6212121212121212,0.766355140186916
13,ensemble_uniq_or,0.9849397590361446,596,2,8,58,0.9666666666666667,0.8787878787878788,0.9206349206349207
