,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
1,1,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
2,2,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
3,3,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
4,4,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
5,5,0.8918128654970761,513,0,74,97,1.0,0.5672514619883041,0.7238805970149254
6,6,0.8903508771929824,511,2,73,98,0.98,0.5730994152046783,0.7232472324723247
7,7,0.8888888888888888,511,2,74,97,0.9797979797979798,0.5672514619883041,0.7185185185185186
8,8,0.8845029239766082,511,2,77,94,0.9791666666666666,0.5497076023391813,0.704119850187266
9,9,0.8786549707602339,511,2,81,90,0.9782608695652174,0.5263157894736842,0.6844106463878327
10,ensemble_avg,0.8947368421052632,513,0,72,99,1.0,0.5789473684210527,0.7333333333333334
11,ensemble_or,0.8918128654970761,511,2,72,99,0.9801980198019802,0.5789473684210527,0.7279411764705883
12,ensemble_uniq_avg,0.8888888888888888,511,2,74,97,0.9797979797979798,0.5672514619883041,0.7185185185185186
13,ensemble_uniq_or,0.8918128654970761,511,2,72,99,0.9801980198019802,0.5789473684210527,0.7279411764705883
