,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
1,1,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
2,2,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
3,3,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
4,4,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
5,5,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
6,6,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
7,7,0.8721804511278195,397,0,68,67,1.0,0.4962962962962963,0.6633663366336634
8,8,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
9,9,0.8703007518796992,397,0,69,66,1.0,0.4888888888888889,0.6567164179104478
10,ensemble_avg,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
11,ensemble_or,0.8759398496240601,397,0,66,69,1.0,0.5111111111111111,0.676470588235294
12,ensemble_uniq_avg,0.8740601503759399,397,0,67,68,1.0,0.5037037037037037,0.6699507389162561
13,ensemble_uniq_or,0.8759398496240601,397,0,66,69,1.0,0.5111111111111111,0.676470588235294
