,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
1,1,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
2,2,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
3,3,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
4,4,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
5,5,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
6,6,0.875366568914956,485,0,85,112,1.0,0.5685279187817259,0.7249190938511327
7,7,0.8680351906158358,485,0,90,107,1.0,0.5431472081218274,0.7039473684210527
8,8,0.8680351906158358,485,0,90,107,1.0,0.5431472081218274,0.7039473684210527
9,9,0.8680351906158358,485,0,90,107,1.0,0.5431472081218274,0.7039473684210527
10,ensemble_avg,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
11,ensemble_or,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
12,ensemble_uniq_avg,0.875366568914956,485,0,85,112,1.0,0.5685279187817259,0.7249190938511327
13,ensemble_uniq_or,0.8768328445747801,485,0,84,113,1.0,0.5736040609137056,0.7290322580645162
