,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
1,1,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
2,2,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
3,3,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
4,4,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
5,5,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
6,6,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
7,7,0.8569157392686805,455,0,90,84,1.0,0.4827586206896552,0.6511627906976745
8,8,0.8521462639109698,455,0,93,81,1.0,0.46551724137931033,0.6352941176470588
9,9,0.8441971383147854,455,0,98,76,1.0,0.4367816091954023,0.608
10,ensemble_avg,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
11,ensemble_or,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
12,ensemble_uniq_avg,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
13,ensemble_uniq_or,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
