,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
1,1,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
2,2,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
3,3,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
4,4,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
5,5,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
6,6,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
7,7,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
8,8,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
9,9,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
10,ensemble_avg,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
11,ensemble_or,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
12,ensemble_uniq_avg,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
13,ensemble_uniq_or,0.9728915662650602,598,0,18,48,1.0,0.7272727272727273,0.8421052631578948
