,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
1,1,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
2,2,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
3,3,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
4,4,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
5,5,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
6,6,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
7,7,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
8,8,0.8846715328467153,511,6,73,95,0.9405940594059405,0.5654761904761905,0.7063197026022304
9,9,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
10,ensemble_avg,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
11,ensemble_or,0.9065693430656935,511,6,58,110,0.9482758620689655,0.6547619047619048,0.7746478873239436
12,ensemble_uniq_avg,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
13,ensemble_uniq_or,0.9065693430656935,511,6,58,110,0.9482758620689655,0.6547619047619048,0.7746478873239436
