,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
1,1,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
2,2,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
3,3,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
4,4,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
5,5,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
6,6,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
7,7,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
8,8,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
9,9,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
10,ensemble_avg,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
11,ensemble_or,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
12,ensemble_uniq_avg,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
13,ensemble_uniq_or,0.9718100890207715,586,0,19,69,1.0,0.7840909090909091,0.8789808917197451
