,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.863275039745628,455,0,86,88,1.0,0.5057471264367817,0.6717557251908397
1,1,0.863275039745628,455,0,86,88,1.0,0.5057471264367817,0.6717557251908397
2,2,0.863275039745628,455,0,86,88,1.0,0.5057471264367817,0.6717557251908397
3,3,0.8616852146263911,455,0,87,87,1.0,0.5,0.6666666666666666
4,4,0.8616852146263911,455,0,87,87,1.0,0.5,0.6666666666666666
5,5,0.8600953895071543,455,0,88,86,1.0,0.4942528735632184,0.6615384615384615
6,6,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
7,7,0.8314785373608903,455,0,106,68,1.0,0.39080459770114945,0.5619834710743802
8,8,0.8235294117647058,455,0,111,63,1.0,0.3620689655172414,0.5316455696202532
9,9,0.8203497615262321,455,0,113,61,1.0,0.3505747126436782,0.5191489361702127
10,ensemble_avg,0.863275039745628,455,0,86,88,1.0,0.5057471264367817,0.6717557251908397
11,ensemble_or,0.8696343402225755,455,0,82,92,1.0,0.5287356321839081,0.6917293233082707
12,ensemble_uniq_avg,0.8585055643879174,455,0,89,85,1.0,0.4885057471264368,0.6563706563706564
13,ensemble_uniq_or,0.8696343402225755,455,0,82,92,1.0,0.5287356321839081,0.6917293233082707
