,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8963503649635036,517,0,71,97,1.0,0.5773809523809523,0.7320754716981132
1,1,0.8963503649635036,517,0,71,97,1.0,0.5773809523809523,0.7320754716981132
2,2,0.8963503649635036,517,0,71,97,1.0,0.5773809523809523,0.7320754716981132
3,3,0.8978102189781022,517,0,70,98,1.0,0.5833333333333334,0.7368421052631579
4,4,0.8948905109489051,517,0,72,96,1.0,0.5714285714285714,0.7272727272727273
5,5,0.8948905109489051,517,0,72,96,1.0,0.5714285714285714,0.7272727272727273
6,6,0.8905109489051095,514,3,72,96,0.9696969696969697,0.5714285714285714,0.7191011235955056
7,7,0.8875912408759125,512,5,72,96,0.9504950495049505,0.5714285714285714,0.7137546468401488
8,8,0.8802919708029197,512,5,77,91,0.9479166666666666,0.5416666666666666,0.6893939393939393
9,9,0.8759124087591241,512,5,80,88,0.946236559139785,0.5238095238095238,0.674329501915709
10,ensemble_avg,0.8948905109489051,517,0,72,96,1.0,0.5714285714285714,0.7272727272727273
11,ensemble_or,0.8905109489051095,512,5,70,98,0.9514563106796117,0.5833333333333334,0.7232472324723247
12,ensemble_uniq_avg,0.8905109489051095,514,3,72,96,0.9696969696969697,0.5714285714285714,0.7191011235955056
13,ensemble_uniq_or,0.8890510948905109,512,5,71,97,0.9509803921568627,0.5773809523809523,0.7185185185185184
