,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
1,1,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
2,2,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
3,3,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
4,4,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
5,5,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
6,6,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
7,7,0.9005847953216374,518,0,68,98,1.0,0.5903614457831325,0.7424242424242424
8,8,0.9005847953216374,518,0,68,98,1.0,0.5903614457831325,0.7424242424242424
9,9,0.8991228070175439,518,0,69,97,1.0,0.5843373493975904,0.7376425855513308
10,ensemble_avg,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
11,ensemble_or,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
12,ensemble_uniq_avg,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
13,ensemble_uniq_or,0.902046783625731,518,0,67,99,1.0,0.5963855421686747,0.7471698113207548
