,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.3260233918128655,54,459,2,169,0.26910828025477707,0.9883040935672515,0.4230287859824781
1,1,0.3260233918128655,54,459,2,169,0.26910828025477707,0.9883040935672515,0.4230287859824781
2,2,0.3260233918128655,54,459,2,169,0.26910828025477707,0.9883040935672515,0.4230287859824781
3,3,0.32894736842105265,59,454,5,166,0.267741935483871,0.9707602339181286,0.4197218710493047
4,4,0.34210526315789475,68,445,5,166,0.27168576104746317,0.9707602339181286,0.4245524296675192
5,5,0.35526315789473684,81,432,9,162,0.2727272727272727,0.9473684210526315,0.4235294117647058
6,6,0.35526315789473684,81,432,9,162,0.2727272727272727,0.9473684210526315,0.4235294117647058
7,7,0.35526315789473684,81,432,9,162,0.2727272727272727,0.9473684210526315,0.4235294117647058
8,8,0.34649122807017546,71,442,5,166,0.2730263157894737,0.9707602339181286,0.4261874197689346
9,9,0.37719298245614036,102,411,15,156,0.2751322751322751,0.9122807017543859,0.42276422764227645
10,ensemble_avg,0.34210526315789475,68,445,5,166,0.27168576104746317,0.9707602339181286,0.4245524296675192
11,ensemble_or,0.3260233918128655,54,459,2,169,0.26910828025477707,0.9883040935672515,0.4230287859824781
12,ensemble_uniq_avg,0.34210526315789475,68,445,5,166,0.27168576104746317,0.9707602339181286,0.4245524296675192
13,ensemble_uniq_or,0.3260233918128655,54,459,2,169,0.26910828025477707,0.9883040935672515,0.4230287859824781
