,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
1,1,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
2,2,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
3,3,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
4,4,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
5,5,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
6,6,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
7,7,0.8211143695014663,494,4,118,66,0.9428571428571428,0.358695652173913,0.5196850393700787
8,8,0.8196480938416423,494,4,119,65,0.9420289855072463,0.3532608695652174,0.5138339920948617
9,9,0.8196480938416423,494,4,119,65,0.9420289855072463,0.3532608695652174,0.5138339920948617
10,ensemble_avg,0.8284457478005866,493,5,112,72,0.935064935064935,0.391304347826087,0.5517241379310345
11,ensemble_or,0.844574780058651,493,5,101,83,0.9431818181818182,0.45108695652173914,0.6102941176470589
12,ensemble_uniq_avg,0.8196480938416423,494,4,119,65,0.9420289855072463,0.3532608695652174,0.5138339920948617
13,ensemble_uniq_or,0.844574780058651,493,5,101,83,0.9431818181818182,0.45108695652173914,0.6102941176470589
